depth,width,mae_mean,mae_std,mae_min
1,4,6.546684125128296,1.2179168651838421,5.1029314415254206
1,8,5.177372673598568,0.3681760639363501,4.752415282704736
1,16,5.210305452174101,0.18693502955432903,4.8867024255504035
1,32,5.289906082602644,0.2998423211994405,4.941451602632517
1,64,5.133024570280706,0.2920411553401559,4.6518713355624595
1,128,5.521587244651546,0.823800227698901,4.9162800213765605
2,4,5.732092783875636,0.4274131823647325,5.329601369042843
2,8,5.660728909093877,0.5864953862321479,4.967922194541139
2,16,5.4927953582100475,0.45605792454048044,4.746729737391444
2,32,5.500009325130835,0.5012591866001153,4.876145076560587
2,64,5.620500935200374,0.29785438879422166,5.212149978490218
2,128,5.453383507576414,0.26050960423711594,4.936610966752607
3,4,6.240689822803808,0.8321391434075549,5.520264776507404
3,8,6.092616980059516,0.861027682688752,5.218679513304075
3,16,5.867462234727376,0.5658471673472112,5.333490980700953
3,32,5.568950763166712,0.36518423517131265,4.95377625813006
3,64,5.726676396271278,0.40822457162396786,5.071845007299078
3,128,5.503150838036139,0.3001300966973248,5.183895329064491
4,4,5.7875676833632905,0.7528749801877385,4.846052848944603
4,8,6.350538734771045,1.0154645196132746,5.150860479998597
4,16,6.22342514711093,0.622806744141528,5.324832104898154
4,32,5.678434210642671,0.6467822144812365,5.192155637360062
4,64,5.982602504577703,0.7041569567733246,5.3776926005988805
4,128,6.062230283606387,1.1050988081284012,5.357034990292185
