depth,width,mae_mean,mae_std,mae_min
1,4,8.835907506735191,0.9823690464925163,7.5397235539093845
1,8,9.246764120009896,1.2288399492922795,6.89874246999134
1,16,8.479249751440316,1.011416654623156,7.628223900602971
1,32,8.766285015247435,1.1982160387334289,6.755594821597735
1,64,8.411171739162919,1.0148209353863737,6.702044816504861
1,128,7.789811451879819,0.8746664895250734,6.281560634171733
2,4,7.88601712145815,0.8411246471190122,7.045374976556237
2,8,8.414988364055395,1.5971803504290176,6.960149652334332
2,16,7.857385291479088,0.9615787933781584,6.8259497282737795
2,32,7.786571853350954,0.8516659862663988,6.793159592902672
2,64,7.635961817390532,0.8994945690136001,6.579606582479202
2,128,6.993218648588749,0.21023905105005927,6.658656263612507
3,4,8.920249066761802,0.9142533421618056,7.4398485096341656
3,8,7.66502271407232,0.6571516576087552,6.690147772489079
3,16,7.925789886031815,0.8855860930113054,6.3361702118947685
3,32,8.174049268173118,0.8468920131012122,7.141823789931346
3,64,7.800156062349845,0.7670088971541821,6.8222266289650095
3,128,7.835510118619749,0.3576750342149524,7.4176505993051505
4,4,8.432630289237133,0.6850182557976319,7.647758161847691
4,8,8.300978117784684,0.8298635352363916,7.128715951919607
4,16,8.077599090256614,0.5522610319639801,7.237314192191164
4,32,8.678400200332238,1.0026687450673597,7.776138618687027
4,64,8.773135797908642,1.0212211958650417,7.657932728275926
4,128,8.018709566704704,0.3669275601506732,7.588068138923632
5,4,8.691513075731972,0.5971729425710472,7.84055325310039
5,8,8.936700598436222,0.9593120063215163,7.384040537871583
5,16,9.254027258537231,0.548608846948155,8.36037465232181
5,32,8.66436333700839,0.6572906049643468,7.725761877794396
5,64,8.288142481440344,0.6186530532945973,7.66480692499767
5,128,9.24169335427347,0.877247864348721,7.478370060529269
6,4,10.344828308927442,0.8485508501658768,8.273122227278762
6,8,9.394032473767027,1.349825072529138,7.720450680923529
6,16,9.243961769268559,0.7433183338396315,8.224797502724572
6,32,8.966250727455211,0.5462837507891481,8.396410075509552
6,64,9.385581876604816,0.9204638337493897,8.11371612785509
6,128,9.67621665007968,0.47816705742383864,8.65844731923434
7,4,9.549939272228846,1.0558772518587074,8.21341740796498
7,8,9.667012403659397,0.9946066843575335,8.252457576659603
7,16,9.678602538927285,1.3528487498689463,7.710272901120392
7,32,9.65071648330722,0.6843357057907649,8.96097777502076
7,64,10.120740813990006,0.7934308689143951,8.875151606563131
7,128,9.862994606797297,0.406244369743811,9.244463308986775
8,4,10.855148500313486,1.0315059338649215,9.597089494598492
8,8,10.611648308935315,1.1143942801253697,8.84111045765566
8,16,9.932315023350032,0.9018162666027963,8.593115138339904
8,32,9.781606588386387,0.92690568686518,8.73449214208477
8,64,9.551933421059166,0.9100570841701,8.022913588134848
8,128,10.304146374899151,1.0757865641266107,8.98718969663958
