depth,width,mae_mean,mae_std,mae_min
1,8,5.092480879407291,0.23018292479965383,4.756419055026921
1,16,5.17950860886519,0.3661034454042085,4.800007099175238
1,32,4.952185211099695,0.22138001566322724,4.653098821578908
1,64,5.025056142890046,0.2716518383901017,4.601165076848471
1,128,5.0659964703882165,0.17999363948782596,4.746489368706618
2,8,5.158622644029547,0.26838741114793385,4.731213088347662
2,16,5.258605117462359,0.3222910193859743,4.796729883564775
2,32,5.035746697662808,0.32100824904609715,4.593751277708726
2,64,5.492424380802221,0.36347996000900745,5.03529708048776
2,128,5.188964263470072,0.3716653179624456,4.720005743283256
